NAME,DP05_0018E,DP05_0019PE,DP05_0024PE,DP05_0021PE,DP05_0037PE,DP05_0038PE,DP05_0061PE,DP05_0077PE,DP05_0047PE,DP05_0057PE,DP05_0060PE,DP04_0134E,DP04_0136PE,state
Alabama,39.6,22.1,18.2,77.9,64.7,25.4,5.6,3.0,1.5,0.0,2.3,982,540525,01
Alaska,36.5,23.8,14.0,76.2,59.6,2.9,14.1,3.7,5.9,0.5,2.6,1373,83842,02
Arizona,39.3,21.3,19.3,78.7,58.3,4.8,19.9,27.2,3.6,0.1,9.2,1608,879248,04
Arkansas,38.9,22.9,18.0,77.1,68.9,14.4,11.5,6.4,1.7,0,2.6,933,369740,05
California,38.2,21.7,16.2,78.3,38.5,5.4,19.0,32.5,15.8,0.0,19.6,1992,5735552,06
Colorado,37.9,20.6,16.1,79.4,70.4,3.9,14.7,15.8,3.3,0.0,6.3,1771,794736,08
Connecticut,41.5,20.0,19.1,80.0,64.5,10.9,10.8,1.8,4.9,0,8.4,1463,465728,09
Georgia,37.9,23.0,15.4,77.0,50.3,30.8,8.8,5.5,4.5,0.0,5.0,1400,1294668,13
Delaware,42.0,20.5,21.3,79.5,59.3,22.5,8.2,3.6,4.3,0,5.1,1358,100288,10
District of Columbia,34.9,18.6,13.1,81.4,38.8,40.9,10.7,2.4,4.2,0,5.1,1904,193780,11
Florida,42.8,19.4,21.7,80.6,55.5,14.9,19.3,3.4,3.0,0.0,6.8,1719,2685959,12
Hawaii,41.4,20.5,21.1,79.5,21.9,1.7,28.2,3.4,36.7,5.6,1.9,1940,170437,15
Idaho,37.8,23.7,17.4,76.3,81.7,0.8,9.7,10.9,1.4,0.0,5.0,1256,184467,16
Illinois,39.5,21.5,17.6,78.5,60.7,13.3,11.1,14.3,6.0,0.0,8.1,1238,1538366,17
Indiana,38.3,23.0,17.2,77.0,76.7,9.0,7.7,5.9,2.7,0.0,3.6,1044,756036,18
Iowa,39.1,22.6,18.5,77.4,84.2,4.0,6.5,4.9,2.4,0.0,2.3,949,348110,19
Kansas,37.9,23.4,17.6,76.6,75.9,5.3,11.2,10.6,2.6,0.0,4.0,1036,368082,20
Kentucky,39.2,22.4,17.8,77.6,82.5,7.5,6.6,2.4,1.4,0.0,1.7,929,514741,21
Louisiana,38.7,23.3,17.4,76.7,56.7,30.3,7.9,2.2,1.8,0.0,2.4,1020,512244,22
Maine,44.9,17.6,22.9,82.4,90.1,1.8,5.9,0.5,1.1,0,0.6,1189,143761,23
