STATE,Percentage Democrat,Percentage Republican,Percentage Other
Alabama,38.4,60.5,0
Alaska,40.8,54.8,0
Arizona,44.6,53.7,0
Arkansas,36.9,60.6,0
California,60.2,37.1,0
Colorado,51.5,46.1,0
Connecticut,58.1,40.7,0
Delaware,58.6,40,0
Dist. of Col.,90.9,7.3,0
Florida,50,49.1,0
Georgia,45.5,53.3,0
Hawaii,70.5,27.8,0
Idaho,32.6,64.5,0
Illinois,57.6,40.7,0
Indiana,43.9,54.1,0
Iowa,52,46.2,0
Kansas,38,59.7,0
Kentucky,37.8,60.5,0
Louisiana,40.6,57.8,0
Maine,56.3,41,0
Maryland,62,35.9,0
Massachusetts,60.7,37.5,0
Michigan,54.2,44.7,0
Minnesota,52.7,45,0
Mississippi,43.8,55.3,0
Missouri,44.4,53.8,0
Montana,41.7,55.4,0
Nebraska,38,59.8,0
Nevada,52.4,45.7,0
New Hampshire,52,46.5,0
New Jersey,58.3,40.6,0
New Mexico,53,42.8,0
New York,63.4,35.2,0
North Carolina,48.4,50.4,0
North Dakota,38.7,58.3,0
Ohio,50.7,47.7,0
Oklahoma,33.2,66.8,0
Oregon,54.2,42.1,0
Pennsylvania,52.1,46.7,0
Rhode Island,62.7,35.2,0
South Carolina,44.1,54.6,0
South Dakota,39.9,57.9,0
Tennessee,39.1,59.5,0
Texas,41.4,57.2,0
Utah,24.7,72.8,0
Vermont,66.6,31,0
Virginia,51.2,47.3,0
Washington,56.2,41.3,0
West Virginia,35.5,62.3,0
Wisconsin,52.9,46,0
Wyoming,27.8,68.6,0
Totals,51.1,47.2,0
