NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate
Alabama,3697048,72.2,52.4,14.5,-999999999.0,-999999999.0,1.2,0.1,0.0,0.1,27.2,493033,12.5,10.0
Alaska,544184,70.1,47.8,8.5,0.1,0.0,19.6,0.1,1.1,0.2,5.1,86171,14.1,7.8
Arizona,4933670,71.0,50.7,14.8,2.2,0.0,5.4,0.1,0.2,0.1,5.2,831643,12.6,9.8
Arkansas,2237502,71.5,51.7,15.0,-999999999.0,-999999999.0,1.7,0.1,0.2,0.0,16.3,336178,13.1,8.4
California,28802124,71.2,50.7,12.1,0.0,0.0,1.9,0.2,0.4,0.1,7.1,5475993,10.3,11.4
Colorado,3956275,72.0,50.1,11.8,0.2,0.1,2.0,0.1,0.1,0.1,5.1,683923,12.9,7.8
Connecticut,2797581,73.5,52.0,14.8,-999999999.0,-999999999.0,0.8,0.3,0.1,0.1,11.6,420584,12.1,9.7
Delaware,712172,72.9,52.3,15.4,-999999999.0,-999999999.0,0.8,0.5,0.0,0.1,23.1,93193,12.9,8.8
District of Columbia,522871,77.0,53.3,11.4,-999999999.0,-999999999.0,0.8,0.3,0.0,0.1,50.8,148310,13.1,10.3
Florida,15316595,75.3,51.7,18.2,0.0,0.0,0.8,0.3,0.1,0.1,17.3,2286475,10.2,11.5
Georgia,7424198,70.2,51.8,11.5,-999999999.0,-999999999.0,0.7,0.2,0.0,0.1,32.0,1155452,12.0,11.0
Hawaii,1089432,74.3,49.9,15.1,-999999999.0,-999999999.0,2.1,0.2,10.4,0.1,3.2,175406,10.5,7.1
Idaho,1170976,69.2,50.4,13.2,0.0,0.0,2.4,0.1,0.1,0.0,1.0,169381,14.5,8.0
Illinois,9812204,72.0,51.6,13.2,0.0,0.0,0.7,0.1,0.0,0.1,15.4,1474649,12.6,10.2
Indiana,4947915,71.2,51.4,13.6,0.0,0.0,0.8,0.1,0.0,0.1,10.3,699727,13.4,8.8
Iowa,2351520,71.9,50.9,15.3,0.0,0.0,0.9,0.1,0.1,0.0,3.9,318135,14.3,5.3
Kansas,2164628,70.2,50.7,13.7,0.1,0.0,2.1,0.0,0.1,0.1,7.3,344536,14.4,6.5
Kentucky,3362436,72.5,51.4,14.0,0.0,0.0,0.8,0.1,0.0,0.1,9.0,497224,12.8,9.3
Louisiana,3482769,71.2,51.8,13.0,0.0,0.0,1.3,0.2,0.0,0.1,33.1,512367,11.8,8.8
Maine,1063205,75.9,51.7,17.0,-999999999.0,-999999999.0,1.7,0.0,0.0,0.0,1.6,144448,12.4,7.6
Maryland,4541628,73.0,52.3,13.0,-999999999.0,-999999999.0,1.1,0.2,0.0,0.2,30.9,686289,12.6,8.3
Massachusetts,5244889,74.0,52.3,14.5,-999999999.0,-999999999.0,0.7,0.6,0.0,0.1,8.6,901567,12.6,8.5
