NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry,Year
Alabama,38.9,22.4,16.5,77.6,68.0,26.8,0.2,65.5,0.1,1.4,0.5,750,506671,5.8,68.0,29.1,90.6,79810,3767665,21.4,0.1,2017
Alaska,34.5,25.0,11.2,75.0,64.2,3.0,1.1,60.6,3.6,1.5,4.4,1201,83787,7.6,63.5,21.0,86.3,104901,538005,26.4,1.0,2017
Arizona,37.7,23.3,17.1,76.7,77.6,4.4,0.7,54.7,0.7,6.2,0.8,1020,836609,5.8,64.7,24.6,89.9,89647,5364972,25.0,0.6,2017
Arkansas,38.1,23.6,16.5,76.4,76.3,15.3,0.3,72.3,0.1,3.1,1.2,711,355860,5.6,65.3,30.7,92.1,76134,2290421,22.1,0.2,2017
California,36.5,22.9,13.9,77.1,58.6,5.7,1.5,37.0,3.3,15.0,0.7,1447,5588574,5.9,54.8,25.5,92.8,113488,30351316,21.1,0.4,2017
Colorado,36.8,22.5,13.8,77.5,84.2,4.1,0.8,68.2,0.3,3.9,0.8,1240,706299,4.2,65.2,21.0,92.5,109022,4310059,20.9,0.8,2017
Connecticut,40.9,20.7,16.8,79.3,75.9,10.6,0.6,66.7,0.2,5.3,0.3,1125,430519,6.1,66.2,20.1,94.5,129913,2836991,16.5,0.3,2017
Delaware,40.1,21.2,18.0,78.8,68.8,21.9,0.4,62.2,0.5,1.9,0.4,1086,93164,5.3,70.9,26.7,94.6,101186,754546,19.0,0.2,2017
District of Columbia,34.0,18.0,12.1,82.0,41.0,45.9,0.8,36.5,0.5,5.8,0.1,1499,152388,6.6,42.2,19.4,96.2,155436,565970,12.5,0.2,2017
Florida,42.0,20.0,20.1,80.0,75.1,16.2,0.4,53.8,0.5,2.9,0.4,1128,2492817,5.5,65.2,24.9,87.1,88588,16731122,19.9,0.2,2017
Georgia,36.8,24.1,13.4,75.9,58.7,31.6,0.5,52.6,0.2,2.6,0.4,958,1285297,5.8,62.9,26.0,86.6,91908,7867010,20.2,0.1,2017
Hawaii,39.2,21.4,17.8,78.6,25.0,1.6,4.9,21.8,15.6,1.5,0.6,1573,174878,4.2,58.5,23.4,96.2,111297,1078468,20.5,0.2,2017
Idaho,36.3,25.8,15.3,74.2,90.0,0.7,0.8,82.0,0.2,3.4,1.0,822,172758,4.1,69.7,27.8,89.9,82950,1269341,26.3,1.8,2017
Illinois,38.0,22.6,15.2,77.4,71.2,14.2,0.7,61.2,1.0,6.2,0.4,974,1512887,6.1,66.2,23.4,93.2,105077,9889114,20.6,0.3,2017
Indiana,37.7,23.6,15.4,76.4,83.7,9.4,0.4,79.2,0.2,1.9,0.4,793,722265,4.7,69.0,26.5,91.8,85034,5089562,20.2,0.2,2017
Iowa,38.3,23.2,16.7,76.8,90.0,3.4,0.4,85.9,0.2,1.3,0.3,760,328803,3.6,71.6,23.6,95.3,91680,2413716,21.0,1.8,2017
Kansas,36.7,24.5,15.4,75.5,84.5,5.7,0.4,75.9,0.2,2.5,1.1,815,358706,4.2,65.9,25.2,91.3,91517,2183900,22.7,0.5,2017
