NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry
Alabama,39.4,22.1,17.4,77.9,67.8,26.9,0.3,65.1,0.1,1.5,0.5,807,515098,4.9,68.8,29.3,90.3,0,26.3,30.9,0.1
Alaska,35.0,24.6,12.4,75.4,64.2,3.1,1.6,59.8,3.5,1.7,3.4,1201,81217,5.8,64.7,19.1,87.8,0,30.2,28.7,0.5
Arizona,38.3,22.5,18.0,77.5,78.3,4.7,0.9,54.0,0.6,5.0,0.8,1101,865071,5.1,65.3,23.4,88.7,0,30.2,23.7,0.4
Arkansas,38.8,23.2,17.4,76.8,76.7,15.5,0.3,72.0,0.2,2.5,1.1,742,355290,4.8,65.5,29.4,90.9,0,23.3,34.9,0.2
California,37.0,22.5,14.8,77.5,59.4,5.8,1.5,36.3,3.4,13.7,0.7,1614,5657264,5.1,54.9,24.1,92.3,0,35.0,20.6,0.2
Colorado,37.1,21.8,14.7,78.2,83.7,4.2,1.0,67.5,0.4,3.6,1.0,1369,729866,3.7,65.9,20.4,92.0,0,42.7,21.0,0.6
Connecticut,41.2,20.4,17.6,79.6,74.6,11.1,0.6,65.6,0.4,5.6,0.3,1177,453566,5.3,65.0,20.6,94.1,0,39.8,26.8,0.3
Delaware,41.4,20.9,19.5,79.1,67.7,22.5,0.6,61.3,0.3,2.4,0.3,1116,105503,4.6,70.3,22.6,93.4,0,33.2,30.2,0.1
District of Columbia,34.3,18.1,12.4,81.9,42.5,45.4,1.0,37.3,0.3,4.4,0.1,1603,162199,6.3,41.5,17.9,96.5,0,59.7,15.8,0.2
Florida,42.4,19.7,20.9,80.3,74.5,16.0,0.5,53.0,0.5,3.4,0.4,1238,2503304,4.5,66.2,24.1,86.8,0,30.7,28.4,0.2
Georgia,37.2,23.6,14.3,76.4,57.8,31.9,0.5,51.8,0.2,3.0,0.2,1049,1279700,4.8,64.1,24.5,86.6,0,32.5,27.4,0.1
Hawaii,39.6,21.2,19.0,78.8,24.1,1.9,5.4,21.5,15.7,1.7,0.5,1651,172379,3.9,60.2,21.7,95.8,0,33.6,27.4,0.2
Idaho,36.9,25.1,16.2,74.9,89.4,0.7,0.8,81.6,0.2,3.8,0.9,880,174095,3.3,71.6,24.7,89.2,0,28.7,26.1,0.3
Illinois,38.6,22.2,16.1,77.8,71.4,14.1,0.7,60.7,1.0,5.8,0.3,1020,1537074,4.8,66.0,22.4,92.6,0,35.8,25.9,0.7
Indiana,38.0,23.3,16.1,76.7,82.8,9.6,0.4,78.3,0.3,2.2,0.4,840,732851,4.2,69.3,24.4,91.3,0,26.9,33.9,0.2
Iowa,38.5,22.9,17.5,77.1,89.9,4.1,0.5,85.1,0.2,1.0,0.3,808,350554,3.7,70.5,23.6,95.0,0,29.3,31.0,1.6
