NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)
Alabama,39.8,22.2,17.6,77.8,65.1,25.9,0.4,64.2,0.1,2.1,1.1,861,512350
Arizona,38.6,22.2,18.3,77.8,58.3,4.5,0.9,52.0,0.7,9.5,1.1,1253,849618
Arkansas,38.5,23.3,17.4,76.7,69.9,14.8,0.5,68.2,0.2,3.0,1.8,820,343038
California,37.6,22.4,15.2,77.6,39.4,5.5,1.6,34.3,3.3,19.2,0.7,1750,5602975
Colorado,37.6,21.4,15.1,78.6,70.6,3.9,1.1,65.2,0.3,6.2,1.2,1491,726098
Connecticut,41.1,20.2,18.0,79.8,65.3,10.6,0.7,62.7,0.5,7.3,0.4,1277,448432
Delaware,41.6,20.8,20.1,79.2,60.8,20.8,0.6,59.3,0.6,4.6,1.1,1208,101774
District of Columbia,34.8,18.8,12.8,81.2,37.9,43.2,1.1,36.4,0.4,4.9,0.3,1668,175662
Florida,42.8,19.7,21.1,80.3,56.1,15.1,0.5,51.1,0.5,6.5,0.5,1348,2603280
Georgia,37.5,23.4,14.7,76.6,51.9,30.8,0.5,50.2,0.3,3.7,1.0,1153,1255980
Hawaii,40.2,21.1,19.6,78.9,22.2,2.0,5.1,20.8,14.8,1.9,0.7,1774,168986
Idaho,37.3,24.7,16.5,75.3,81.4,0.7,0.9,78.7,0.2,5.7,1.4,1035,180255
Illinois,39.0,22.1,16.6,77.9,61.3,13.6,0.7,58.9,1.0,7.5,0.8,1106,1495151
Indiana,38.2,23.3,16.4,76.7,78.0,8.8,0.5,76.6,0.2,3.1,1.3,905,715246
Iowa,38.5,23.1,17.8,76.9,84.5,3.6,0.6,83.0,0.2,2.2,0.9,847,334298
Kansas,37.3,23.9,16.7,76.1,76.0,5.3,0.6,73.4,0.2,4.4,1.7,904,353831
Kentucky,39.1,22.5,17.0,77.5,83.3,7.2,0.4,82.7,0.1,1.4,1.6,830,498748
Louisiana,38.0,23.4,16.6,76.6,57.9,31.2,0.3,56.9,0.2,1.9,1.0,924,506752
Maine,44.7,18.2,21.7,81.8,90.5,1.5,0.6,90.0,0.2,0.9,1.2,945,134802
Maryland,39.3,22.1,16.3,77.9,49.0,29.4,0.9,47.8,0.7,6.6,0.5,1473,716566
Massachusetts,39.9,19.5,17.4,80.5,69.2,6.7,0.9,67.5,0.2,5.7,0.4,1487,956173
Michigan,40.2,21.4,18.1,78.6,74.0,13.4,0.7,72.9,0.3,1.9,0.8,969,999247
Minnesota,38.8,22.9,16.8,77.1,77.7,6.8,0.9,76.9,0.3,2.6,1.1,1113,580134
Mississippi,38.6,23.5,16.8,76.5,56.1,36.1,0.4,55.4,0.1,1.4,1.4,831,290572
Missouri,39.2,22.4,17.6,77.6,77.4,10.8,0.6,76.6,0.2,1.7,1.5,882,710465
Montana,40.1,21.3,19.7,78.7,85.1,0.5,0.4,83.8,0.2,1.3,2.2,883,123399
Nebraska,37.2,24.6,16.4,75.4,78.5,4.7,0.8,76.4,0.2,4.6,0.9,912,234787
Nevada,38.7,22.2,16.5,77.8,49.6,9.2,1.6,45.2,4.4,12.9,0.9,1311,455206
New Hampshire,43.1,18.4,19.3,81.6,87.9,1.5,0.8,87.3,0.1,1.4,0.9,1263,142682
New Jersey,40.3,21.8,16.9,78.2,54.6,12.9,0.7,52.1,1.3,10.0,0.3,1457,1181514
New Mexico,39.1,22.3,18.5,77.7,45.1,2.0,0.5,34.9,0.5,14.3,1.5,906,229666
New York,39.8,20.7,17.5,79.3,55.6,14.2,0.7,53.5,0.6,10.2,0.4,1409,3224273
North Carolina,39.4,21.8,17.0,78.2,62.4,20.1,0.6,60.9,0.2,4.9,1.2,1026,1262320
North Dakota,35.8,23.6,16.0,76.4,83.1,2.9,0.4,82.3,0.1,1.5,2.0,839,110561
Ohio,39.6,22.1,17.8,77.9,77.3,11.9,0.5,76.6,0.2,1.6,1.0,870,1449615
Oklahoma,37.2,24.0,16.2,76.0,65.6,6.9,0.6,62.8,0.2,3.6,5.6,855,480928
Oregon,40.1,20.2,18.6,79.8,74.6,1.9,1.4,72.0,0.5,5.5,1.8,1282,581385
Pennsylvania,40.9,20.6,19.0,79.4,74.9,10.4,0.6,73.6,0.2,3.9,0.6,1036,1449302
Rhode Island,40.6,19.0,18.3,81.0,70.8,5.0,0.8,68.9,0.3,8.8,0.5,1142,153253
South Carolina,40.2,21.5,18.6,78.5,63.6,25.0,0.5,62.6,0.3,2.7,1.1,976,510449
South Dakota,37.6,24.6,17.6,75.4,80.7,2.0,0.6,80.0,0.3,1.4,2.0,830,98927
Tennessee,39.2,22.0,17.0,78.0,73.1,15.5,0.5,72.1,0.2,2.6,1.3,981,821320
Texas,35.5,25.3,13.2,74.7,47.9,11.9,0.6,39.4,0.4,10.2,0.8,1167,3766511
Utah,31.8,28.3,11.6,71.7,79.3,1.1,1.1,76.0,0.3,5.7,0.9,1208,313463
Vermont,42.9,18.1,20.6,81.9,91.1,1.1,0.6,90.6,0.1,0.7,1.3,1115,69275
Virginia,38.8,21.8,16.3,78.2,60.8,18.4,1.2,59.2,0.9,4.0,0.8,1331,1005670
Washington,38.2,21.7,16.2,78.3,66.4,4.0,1.9,64.3,1.4,5.8,1.5,1484,1028467
West Virginia,42.8,20.3,20.7,79.7,90.7,2.8,0.3,90.4,0.1,0.5,1.5,767,148425
Wisconsin,40.1,21.6,17.9,78.4,80.3,6.2,0.6,79.0,0.2,2.4,0.9,921,731957
Wyoming,39.0,22.7,17.9,77.3,84.6,1.2,0.6,81.5,0.2,3.5,1.9,889,63852
Alaska,35.6,24.5,13.4,75.5,59.4,3.0,1.5,57.9,3.7,2.6,5.5,1259,81689
