NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate
Alabama,39.3,22.3,17.0,77.7,67.7,26.7,0.3,65.3,0.1,1.7,0.6,788,509079,5.6
Alaska,34.9,24.9,11.9,75.1,64.4,3.4,1.2,60.1,3.9,1.3,4.0,1177,78973,6.8
Arizona,38.0,22.9,17.6,77.1,78.0,4.7,0.9,54.3,0.6,5.2,0.9,1036,859185,5.4
Arkansas,38.1,23.4,16.8,76.6,76.5,15.2,0.3,72.1,0.2,2.8,1.2,731,354307,4.5
California,36.7,22.7,14.3,77.3,59.5,5.8,1.5,36.6,3.3,13.8,0.7,1520,5615217,5.5
Colorado,36.9,22.2,14.2,77.8,84.1,4.2,1.0,67.8,0.3,3.5,0.9,1289,723615,3.9
Connecticut,41.1,20.6,17.2,79.4,75.2,11.0,0.5,66.3,0.3,5.5,0.4,1171,445313,5.5
Delaware,41.1,21.0,18.7,79.0,68.2,22.5,0.5,61.8,0.4,2.0,0.2,1108,99834,5.7
District of Columbia,33.9,18.1,12.2,81.9,42.2,45.5,1.1,36.9,0.4,4.4,0.2,1516,156172,7.5
Florida,42.2,19.8,20.5,80.2,74.6,16.0,0.5,53.3,0.5,3.3,0.3,1182,2488732,5.2
Georgia,36.8,23.8,13.8,76.2,58.3,31.6,0.5,52.2,0.2,2.9,0.3,1008,1264338,4.8
Hawaii,39.3,21.3,18.4,78.7,24.3,2.0,5.0,21.7,15.5,1.3,0.6,1613,174067,3.8
Idaho,36.8,25.4,15.9,74.6,89.9,0.7,0.7,81.8,0.4,3.4,0.8,848,171197,4.0
Illinois,38.3,22.4,15.6,77.6,71.7,14.1,0.7,60.9,1.0,5.6,0.3,995,1538757,5.5
Indiana,37.8,23.4,15.7,76.6,82.8,9.5,0.4,78.7,0.2,2.4,0.4,820,744532,4.4
Iowa,38.1,23.2,17.0,76.8,90.2,3.6,0.4,85.4,0.2,1.0,0.3,777,334253,3.6
Kansas,37.1,24.2,15.9,75.8,84.0,5.9,0.6,75.6,0.2,2.5,1.0,840,355064,3.8
Kentucky,39.1,22.6,16.4,77.4,86.7,7.9,0.3,84.5,0.1,1.2,0.3,779,499653,5.2
Louisiana,37.3,23.6,15.5,76.4,61.7,32.4,0.4,58.4,0.2,1.4,0.5,854,520450,6.4
Maine,45.1,18.6,20.6,81.4,94.3,1.4,0.4,93.0,0.2,0.2,0.9,839,150857,3.5
Maryland,38.8,22.1,15.4,77.9,54.7,30.0,0.9,50.2,0.8,5.0,0.3,1371,695224,4.9
Massachusetts,39.5,19.8,16.5,80.2,77.3,7.8,0.8,70.7,0.2,4.4,0.3,1295,944613,4.8
Michigan,39.8,21.7,17.2,78.3,78.3,13.8,0.5,74.8,0.3,1.2,0.7,861,1054709,5.3
Minnesota,38.2,23.2,15.8,76.8,82.5,6.6,0.8,79.4,0.2,1.8,0.7,969,591002,3.4
Mississippi,37.7,23.6,15.9,76.4,58.1,38.0,0.3,56.4,0.1,1.0,0.1,777,300412,7.1
Missouri,38.8,22.5,16.9,77.5,82.2,11.5,0.5,79.3,0.2,0.9,0.6,830,746359,4.2
Montana,40.1,21.6,18.8,78.4,88.6,0.5,0.5,85.9,0.3,0.5,1.7,811,125693,3.5
Nebraska,36.7,24.6,15.8,75.4,86.4,4.7,0.6,78.5,0.3,2.4,0.7,830,240142,3.5
Nevada,38.2,22.7,15.7,77.3,63.4,9.2,1.3,48.4,4.3,11.8,0.5,1108,461764,5.6
New Hampshire,43.1,19.0,18.1,81.0,92.4,1.7,0.7,89.8,0.2,0.7,0.5,1090,145130,3.6
New Jersey,40.0,21.9,16.1,78.1,66.9,13.6,0.6,54.6,1.3,6.8,0.1,1336,1116257,4.9
New Mexico,38.1,22.9,17.6,77.1,76.4,2.2,0.4,36.9,0.4,6.9,0.9,830,236393,6.1
New York,39.0,20.8,16.4,79.2,63.3,15.7,0.7,55.2,0.6,8.6,0.3,1274,3225441,5.0
North Carolina,38.9,22.1,16.3,77.9,68.4,21.4,0.4,62.7,0.2,3.1,0.4,900,1281264,5.0
North Dakota,35.4,23.0,15.3,77.0,85.7,3.4,0.4,83.8,0.4,1.3,1.0,808,110361,2.8
Ohio,39.5,22.2,17.1,77.8,81.0,12.4,0.4,78.6,0.2,1.0,0.4,797,1483101,4.9
Oklahoma,36.7,24.3,15.7,75.7,72.2,7.3,0.4,65.2,0.1,2.8,4.8,808,459025,4.4
