NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),DP03_0009E
Alabama,3540690,71.4,52.4,13.7,0.0,0.0,1.2,0.1,0.0,0.1,26.8,452148,12.5,7.0
Alaska,505534,68.4,47.7,7.1,0.0,0.0,17.9,0.1,0.5,0.3,5.7,73984,15.1,7.7
Arizona,4792500,69.7,50.3,13.3,2.3,0.0,5.2,0.1,0.1,0.1,4.4,671054,13.3,6.1
Arkansas,2152466,70.9,51.8,14.2,0,0,1.7,0.1,0.1,0.1,16.1,318929,12.5,6.6
California,27393969,69.8,50.4,11.2,0.0,0.0,1.8,0.3,0.4,0.1,7.1,4986796,11.2,7.5
Colorado,3732690,71.4,49.8,10.4,0.1,0.0,2.1,0.2,0.1,0.1,4.7,582151,12.5,4.9
Connecticut,2689965,72.5,51.9,13.6,0,0,0.8,0.3,0.0,0.1,10.7,388118,12.1,6.4
Delaware,666966,71.8,52.3,13.8,0,0,0.9,0.2,0.0,0.2,21.7,80447,12.9,6.6
District of Columbia,479862,75.3,53.6,11.9,0,0,0.9,0.3,0.1,0.3,54.8,135421,13.9,7.8
Florida,14324954,74.2,51.5,17.4,0.0,0.0,0.7,0.3,0.0,0.1,16.3,2000635,9.9,7.5
Georgia,7143266,69.2,51.5,10.1,0.0,0.0,0.6,0.3,0.0,0.1,30.7,1034248,12.5,7.0
Hawaii,1003594,73.8,50.0,14.7,0,0,2.3,0.1,9.0,0.1,3.8,162337,10.7,4.1
Idaho,1110080,68.5,50.2,12.0,0.0,0.0,2.3,0.1,0.1,0.0,0.9,151633,13.6,5.5
Illinois,9720800,70.6,51.3,12.2,0.0,0.0,0.6,0.3,0.0,0.1,15.3,1363349,12.8,6.9
Indiana,4793040,70.7,51.4,12.8,0.0,0.0,0.9,0.2,0.0,0.1,9.6,643809,13.9,6.9
Iowa,2293076,71.7,51.2,14.8,0.0,0.0,1.0,0.1,0.1,0.0,3.1,300826,15.8,3.9
Kansas,2102625,70.4,50.9,13.1,0.0,0.0,2.0,0.1,0.1,0.2,6.7,312990,15.1,4.4
Kentucky,3260706,72.2,51.8,13.2,0.0,0.0,0.6,0.1,0.1,0.0,8.2,452201,14.6,6.9
Louisiana,3303489,70.0,52.4,12.2,0.0,0.0,1.1,0.1,0.0,0.1,32.4,434674,12.4,6.0
Maine,1041695,75.1,51.9,15.1,0,0,1.4,0.1,0.0,0.0,1.4,138482,11.9,5.9
Maryland,4292571,71.8,52.5,12.1,0.0,0.0,0.9,0.3,0.0,0.2,30.1,607746,13.0,5.4
Massachusetts,5069241,73.2,52.2,13.4,0.0,0.0,0.6,0.7,0.0,0.1,7.4,828250,12.7,6.0
Michigan,7609643,71.4,51.5,13.0,0.0,0.0,1.4,0.1,0.0,0.1,14.9,914230,13.0,9.5
Minnesota,3970566,71.8,50.7,12.5,0.0,0.1,1.7,0.1,0.0,0.0,5.2,500278,12.4,4.9
Mississippi,2173328,69.0,52.5,12.5,0.0,0.0,0.8,0.1,0.0,0.1,37.9,267327,12.3,7.8
Missouri,4490072,71.6,51.9,13.6,0.0,0.0,1.3,0.1,0.1,0.1,12.0,637554,13.8,6.1
Montana,745238,72.3,50.3,14.1,0.0,0.6,7.8,0.1,0.1,0.0,0.8,104486,13.4,4.7
Nebraska,1336899,70.3,51.0,13.4,0.0,0.2,1.6,0.1,0.0,0.1,4.9,199213,14.6,4.0
Nevada,1932144,70.5,49.3,11.3,0.2,0.0,2.1,0.3,0.4,0.1,8.3,366950,12.0,7.3
New Hampshire,1023045,73.3,51.3,12.9,0,0,0.8,0.1,0.0,0.1,1.5,132055,13.2,4.5
New Jersey,6635753,72.4,51.7,13.2,0,0,0.6,0.4,0.0,0.1,14.6,987127,12.2,5.9
New Mexico,1482618,69.9,51.4,13.2,5.6,0.0,10.7,0.2,0.0,0.1,2.9,205202,13.5,6.0
New York,15081497,72.6,52.2,13.4,0.0,0.0,0.8,0.5,0.0,0.1,16.9,3023519,12.0,6.3
North Carolina,6982283,71.3,51.8,12.3,0.0,0.0,1.7,0.2,0.0,0.2,22.1,1034448,13.7,6.8
North Dakota,500115,72.6,50.2,14.6,0.0,1.5,6.1,0.0,0.0,0.0,1.3,83048,17.7,3.2
Ohio,8754106,71.8,52.0,13.7,0.0,0.0,0.8,0.1,0.0,0.1,12.7,1285848,13.7,7.0
Oklahoma,2736224,70.5,51.3,13.5,0.0,0.0,11.7,0.1,0.1,0.4,8.6,412323,14.6,4.6
Oregon,2922583,73.2,50.7,13.3,0.0,0.0,3.3,0.1,0.3,0.0,2.4,497210,13.1,6.7
