NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry,Year
Alabama,39.0,73.1,52.4,16.1,68.2,26.8,1.7,2.6,1.3,0.0,1.4,743,498385,6.4,68.5,30.9,90.9,78413,24.7,21.5,0.3,2016
Alaska,33.5,71.0,47.5,10.2,64.4,3.2,8.6,3.5,6.1,1.3,1.7,1208,80403,8.0,64.5,17.0,86.0,103554,29.6,27.1,0.3,2016
Arizona,37.5,72.2,50.7,16.9,75.8,4.3,3.6,27.7,3.2,0.2,8.5,976,858541,6.5,63.2,26.0,90.0,85227,28.9,25.5,0.7,2016
Arkansas,38.0,71.7,51.6,16.3,76.6,15.5,2.6,5.3,1.4,0.3,2.9,701,356930,5.1,64.6,30.7,92.1,73091,22.4,22.6,0.2,2016
California,36.4,72.7,50.8,13.6,59.7,5.8,4.8,32.4,14.3,0.4,14.4,1375,5699253,6.5,53.6,26.5,92.7,108073,32.9,21.3,0.8,2016
Colorado,36.7,73.2,50.0,13.4,84.0,4.2,3.3,15.4,3.2,0.2,4.1,1171,706003,4.7,64.8,22.5,92.5,104274,39.9,21.0,0.4,2016
Connecticut,40.9,74.6,51.8,16.1,76.7,10.6,3.1,1.7,4.5,0.0,4.8,1115,448231,6.4,64.8,20.1,95.1,127843,38.6,16.8,0.7,2016
Delaware,40.6,74.6,52.3,17.5,69.2,22.0,2.7,3.5,3.7,0.2,1.6,1048,96740,5.7,69.8,23.5,94.3,94643,31.0,18.4,0.4,2016
District of Columbia,33.9,77.4,53.1,11.6,40.7,47.1,2.6,2.2,3.9,0.0,5.5,1376,160740,6.9,39.2,22.7,96.1,148208,56.8,13.0,0.7,2016
Florida,42.1,76.2,51.7,19.8,75.6,16.1,2.6,3.5,2.7,0.1,2.8,1086,2521534,6.0,64.1,26.0,87.5,84770,28.6,20.1,0.6,2016
Georgia,36.5,71.3,52.1,13.2,58.7,31.6,2.5,5.4,3.9,0.1,2.9,933,1308429,6.0,61.5,26.7,87.1,87774,30.5,20.5,0.3,2016
Hawaii,38.9,74.9,50.1,17.0,25.1,1.8,23.9,3.0,38.0,10.1,0.9,1483,180663,4.4,57.2,25.0,96.5,108116,31.9,21.5,0.2,2016
Idaho,36.1,69.8,50.5,15.2,89.7,0.7,2.5,10.9,1.5,0.1,3.9,790,173245,4.7,68.5,30.2,89.9,79746,27.6,25.3,0.2,2016
Illinois,37.9,73.2,51.4,14.6,71.3,14.2,2.5,13.5,5.3,0.0,6.4,950,1560172,6.3,65.3,24.0,93.5,100978,34.0,21.0,0.7,2016
Indiana,37.6,71.9,51.4,15.0,83.5,9.3,2.4,5.0,2.1,0.1,2.4,768,735823,5.0,68.3,26.9,91.9,82886,25.6,20.5,0.4,2016
Iowa,38.0,72.2,50.9,16.4,90.4,3.6,1.8,4.3,2.4,0.1,1.3,741,334654,3.9,70.6,25.0,95.7,88997,28.4,21.0,0.2,2016
Kansas,36.5,70.8,50.7,15.1,84.6,5.7,3.6,9.3,2.7,0.1,2.5,789,353745,4.5,65.7,26.3,91.3,89261,32.8,23.2,0.3,2016
Kentucky,38.7,72.9,51.5,15.5,87.1,8.3,2.1,1.9,1.4,0.1,0.8,707,506013,6.0,66.8,31.8,94.9,77077,23.4,21.4,0.4,2016
Louisiana,36.5,71.9,51.8,14.4,62.0,32.4,2.0,2.0,1.7,0.0,1.5,808,535113,7.0,64.3,33.1,89.7,78660,23.4,21.0,0.5,2016
Maine,44.5,77.0,51.6,19.3,94.4,1.5,2.0,0.4,1.3,0.0,0.2,797,137293,4.4,71.9,25.4,92.0,83973,30.1,19.4,0.3,2016
Maryland,38.5,73.8,52.3,14.6,56.5,29.8,3.3,1.6,6.3,0.0,3.8,1314,709266,5.4,65.9,21.1,93.9,119462,39.3,18.9,0.5,2016
Massachusetts,39.5,75.1,52.1,15.8,78.5,7.4,3.1,0.8,6.5,0.1,4.2,1179,924253,5.3,62.0,21.3,97.5,122310,42.7,15.5,1.0,2016
Michigan,39.7,73.7,51.4,16.2,78.5,13.7,3.1,3.6,2.9,0.0,1.2,818,1066981,6.2,70.3,27.8,94.6,87436,28.3,23.6,1.9,2016
Minnesota,37.9,72.7,50.7,15.0,83.3,6.0,2.8,3.6,4.7,0.0,2.0,912,584567,3.8,71.3,20.9,95.9,104507,34.8,21.4,0.4,2016
Mississippi,37.2,71.0,52.5,15.0,58.5,38.0,1.1,1.8,0.9,0.0,1.0,728,303077,7.7,67.3,32.6,88.2,69954,21.8,22.4,0.3,2016
Missouri,38.4,72.9,51.5,16.0,82.3,11.5,2.5,2.7,1.9,0.2,1.2,771,739144,4.9,66.1,26.0,91.1,84680,28.5,22.5,0.4,2016
Montana,40.1,74.0,50.0,17.6,89.0,0.4,3.1,2.6,0.8,0.1,0.4,741,119249,4.8,68.0,27.9,91.9,85935,31.0,23.6,0.2,2016
Nebraska,36.3,70.7,50.6,15.0,87.8,4.7,2.4,7.6,2.2,0.1,2.0,769,239087,3.7,65.3,24.0,91.4,91006,31.4,22.6,0.5,2016
Nevada,37.9,73.4,50.2,15.0,66.9,8.9,4.7,21.5,8.3,0.7,9.3,1003,452508,6.7,54.9,23.7,88.6,84294,23.5,25.7,0.4,2016
New Hampshire,42.7,76.2,50.7,17.0,93.4,1.2,2.2,0.7,2.4,0.0,0.6,1026,146716,3.6,70.1,19.1,94.1,107498,36.6,18.9,0.7,2016
New Jersey,39.5,74.1,51.8,15.3,68.1,13.4,2.7,2.7,9.5,0.0,6.1,1244,1112509,6.0,63.2,22.0,92.0,123820,38.6,16.6,1.3,2016
New Mexico,37.7,72.3,51.0,16.4,74.0,2.0,3.2,31.3,1.6,0.1,9.9,804,220616,7.5,67.4,28.7,90.8,75682,27.2,23.2,0.5,2016
New York,38.4,74.7,52.2,15.3,63.5,15.6,3.1,2.6,8.4,0.0,8.9,1194,3170514,5.9,53.3,25.4,93.9,109325,35.7,15.8,0.9,2016
North Carolina,38.7,73.2,52.1,15.5,68.9,21.5,2.6,5.3,2.7,0.1,3.0,839,1262933,6.2,64.2,27.2,89.6,83110,30.4,21.6,0.4,2016
North Dakota,35.0,72.3,48.7,14.5,87.2,2.5,2.8,2.3,1.2,0.0,0.7,776,106265,2.8,63.2,21.9,93.0,96337,29.6,22.1,0.3,2016
Ohio,39.3,73.5,51.6,16.2,81.6,12.4,2.8,1.6,2.1,0.0,0.9,759,1484813,5.7,65.4,26.3,94.4,85971,27.5,20.6,0.8,2016
Oklahoma,36.4,71.1,51.1,15.0,72.4,7.3,7.7,8.6,2.0,0.2,2.7,744,460915,6.0,64.9,29.2,86.2,79317,25.2,23.5,0.3,2016
