NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry
Alabama,39.6,22.1,18.2,77.9,64.7,25.4,5.6,3.0,1.5,0.0,2.3,982,540525,4.0,70.1,29.4,91.5,0,28.9,30.1,0.2
Alaska,36.5,23.8,14.0,76.2,59.6,2.9,14.1,3.7,5.9,0.5,2.6,1373,83842,4.8,66.3,19.4,89.6,0,32.2,29.1,0.3
Arizona,39.3,21.3,19.3,78.7,58.3,4.8,19.9,27.2,3.6,0.1,9.2,1608,879248,4.3,67.7,23.6,90.1,0,33.5,23.4,0.6
Arkansas,38.9,22.9,18.0,77.1,68.9,14.4,11.5,6.4,1.7,0,2.6,933,369740,4.2,66.2,29.5,91.1,0,26.2,34.2,0.1
California,38.2,21.7,16.2,78.3,38.5,5.4,19.0,32.5,15.8,0.0,19.6,1992,5735552,5.5,55.9,24.9,93.6,0,37.5,20.4,0.9
Colorado,37.9,20.6,16.1,79.4,70.4,3.9,14.7,15.8,3.3,0.0,6.3,1771,794736,3.8,65.7,19.0,93.3,0,46.4,19.3,0.4
Connecticut,41.5,20.0,19.1,80.0,64.5,10.9,10.8,1.8,4.9,0,8.4,1463,465728,4.6,65.7,20.7,94.3,0,42.9,25.5,0.7
Delaware,42.0,20.5,21.3,79.5,59.3,22.5,8.2,3.6,4.3,0,5.1,1358,100288,3.5,73.6,20.5,93.5,0,36.5,28.5,0.6
District of Columbia,34.9,18.6,13.1,81.4,38.8,40.9,10.7,2.4,4.2,0,5.1,1904,193780,5.3,39.1,16.8,97.3,0,65.9,13.1,1.1
Florida,42.8,19.4,21.7,80.6,55.5,14.9,19.3,3.4,3.0,0.0,6.8,1719,2685959,4.1,68.1,24.1,89.3,0,34.9,26.8,0.7
Georgia,37.9,23.0,15.4,77.0,50.3,30.8,8.8,5.5,4.5,0.0,5.0,1400,1294668,4.4,66.1,25.6,88.6,0,35.4,26.3,0.4
Hawaii,41.4,20.5,21.1,79.5,21.9,1.7,28.2,3.4,36.7,5.6,1.9,1940,170437,3.5,62.4,24.4,96.8,0,37.0,26.3,0.1
Idaho,37.8,23.7,17.4,76.3,81.7,0.8,9.7,10.9,1.4,0.0,5.0,1256,184467,3.6,72.5,24.4,91.1,0,32.1,25.9,0.2
Illinois,39.5,21.5,17.6,78.5,60.7,13.3,11.1,14.3,6.0,0.0,8.1,1238,1538366,4.7,67.4,22.7,93.8,0,38.3,25.3,0.8
Indiana,38.3,23.0,17.2,77.0,76.7,9.0,7.7,5.9,2.7,0.0,3.6,1044,756036,3.6,70.4,24.6,93.1,0,30.2,32.2,0.4
Iowa,39.1,22.6,18.5,77.4,84.2,4.0,6.5,4.9,2.4,0.0,2.3,949,348110,2.8,71.8,23.7,95.0,0,31.5,29.9,0.2
Kansas,37.9,23.4,17.6,76.6,75.9,5.3,11.2,10.6,2.6,0.0,4.0,1036,368082,3.3,66.7,23.4,91.6,0,35.8,25.1,0.3
Kentucky,39.2,22.4,17.8,77.6,82.5,7.5,6.6,2.4,1.4,0.0,1.7,929,514741,4.1,68.8,28.8,94.6,0,27.8,33.0,0.4
Louisiana,38.7,23.3,17.4,76.7,56.7,30.3,7.9,2.2,1.8,0.0,2.4,1020,512244,4.9,68.1,33.2,93.1,0,27.0,33.1,0.5
Maine,44.9,17.6,22.9,82.4,90.1,1.8,5.9,0.5,1.1,0,0.6,1189,143761,3.2,74.4,20.8,94.1,0,37.0,29.4,0.3
Maryland,39.8,22.0,17.3,78.0,47.9,29.2,8.6,2.0,6.6,0,7.1,1651,723096,4.0,67.9,21.3,93.7,0,43.7,23.9,0.7
Massachusetts,40.3,19.2,18.5,80.8,67.9,7.0,11.0,0.8,7.4,0.0,6.4,1757,999906,3.9,62.3,21.5,97.4,0,47.8,22.8,1.2
Michigan,40.5,21.0,19.3,79.0,73.8,13.2,7.2,4.1,3.4,0.0,1.9,1101,991653,4.5,73.7,25.9,95.5,0,32.7,27.7,2.1
Minnesota,39.1,22.6,17.9,77.4,76.7,7.2,7.1,4.1,5.2,0.0,2.8,1264,617201,3.0,72.0,20.9,95.8,0,40.0,23.3,0.4
